aqi,city,co,date,level,no2,o3,pm10,pm2_5,so2,source,time
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.482146
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.496185
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.496185
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.496185
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.499695
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.499695
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.506715
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.506715
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.506715
孟亮,孟亮,1,孟亮,孟亮,1,1,1,孟亮,1,aqispider,2020-09-26 08:05:41.510223
